scenario,filter,model,params,val_f1,val_threshold,test_f1,test_precision,test_recall,test_roc_auc,test_auprc
baseline,aggressive,OCSVM,"{'nu': 0.03, 'kernel': 'rbf', 'gamma': 'scale'}",0.18749999999999997,0.3201829621534795,0.1643835616438356,0.2222222222222222,0.13043478260869565,0.39630903972474196,0.08782783383780235
baseline,aggressive,OCSVM,"{'nu': 0.05, 'kernel': 'rbf', 'gamma': 'scale'}",0.18749999999999997,0.5556765539862489,0.16216216216216217,0.21428571428571427,0.13043478260869565,0.3971848608070066,0.08890177378513094
baseline,aggressive,OCSVM,"{'nu': 0.1, 'kernel': 'rbf', 'gamma': 'scale'}",0.18181818181818182,3.2354234887376094,0.07272727272727272,0.2222222222222222,0.043478260869565216,0.3944635595871129,0.08971919403314392
baseline,aggressive,OCSVM,"{'nu': 0.15, 'kernel': 'rbf', 'gamma': 'scale'}",0.18181818181818182,5.875756413117799,0.07272727272727272,0.2222222222222222,0.043478260869565216,0.3904285267438223,0.08851079466166481
baseline,aggressive,OCSVM,"{'nu': 0.05, 'kernel': 'rbf', 'gamma': 'auto'}",0.17857142857142858,-0.08395814593062312,0.16541353383458646,0.12643678160919541,0.2391304347826087,0.39171097904285274,0.0941067243633457
baseline,aggressive,OCSVM,"{'nu': 0.05, 'kernel': 'rbf', 'gamma': 0.1}",0.18749999999999997,0.13194838886813345,0.11267605633802817,0.16,0.08695652173913043,0.4954957772912106,0.08341424506491582
baseline,aggressive,OCSVM,"{'nu': 0.05, 'kernel': 'rbf', 'gamma': 0.01}",0.18749999999999997,0.4907909664208816,0.16,0.20689655172413793,0.13043478260869565,0.3958711291836096,0.08900334227275525
baseline,aggressive,OCSVM,"{'nu': 0.05, 'kernel': 'rbf', 'gamma': 0.001}",0.17857142857142858,-0.06660708004643823,0.16541353383458646,0.12643678160919541,0.2391304347826087,0.3915233030966532,0.09400958638631424
baseline,mild,Mahalanobis,{'method': 'empirical'},0.1818181818181818,19090.654034100913,0.174496644295302,0.12871287128712872,0.2708333333333333,0.6798385195662424,0.10193497630136815
baseline,mild,Mahalanobis,{'method': 'robust'},0.1904761904761905,79388.91358727936,0.13008130081300814,0.10666666666666667,0.16666666666666666,0.6518446487505893,0.0949054318304888
baseline,mild,IsolationForest,"{'n_estimators': 100, 'max_samples': 'auto', 'contamination': 'auto'}",0.16666666666666663,-0.03553884122505163,0.05263157894736842,0.07142857142857142,0.041666666666666664,0.41970179160773224,0.05674210107528115
baseline,mild,IsolationForest,"{'n_estimators': 200, 'max_samples': 'auto', 'contamination': 'auto'}",0.14457831325301204,-0.05048081103248164,0.0707070707070707,0.04666666666666667,0.14583333333333334,0.4153111739745403,0.05265041664051046
baseline,mild,IsolationForest,"{'n_estimators': 300, 'max_samples': 'auto', 'contamination': 'auto'}",0.14814814814814817,-0.04576416275352724,0.09655172413793103,0.07216494845360824,0.14583333333333334,0.40985973597359737,0.054568542781911096
baseline,mild,IsolationForest,"{'n_estimators': 100, 'max_samples': 0.8, 'contamination': 'auto'}",0.14285714285714288,-0.1040174052653815,0.10422535211267606,0.055891238670694864,0.7708333333333334,0.360413719943423,0.048018687658906226
baseline,mild,IsolationForest,"{'n_estimators': 100, 'max_samples': 0.6, 'contamination': 'auto'}",0.14814814814814817,-0.04422193967108784,0.05333333333333334,0.07407407407407407,0.041666666666666664,0.3640087223008015,0.048423334408150234
baseline,mild,IsolationForest,"{'n_estimators': 200, 'max_samples': 'auto', 'max_features': 0.8, 'contamination': 'auto'}",0.14035087719298245,-0.08847118537524451,0.10569105691056911,0.05652173913043478,0.8125,0.3661892975011787,0.051474169160233174
baseline,mild,IsolationForest,"{'n_estimators': 200, 'max_samples': 'auto', 'max_features': 0.5, 'contamination': 'auto'}",0.1739130434782609,-0.01659403710329488,0.04,0.5,0.020833333333333332,0.3869342291371995,0.08081186171800618
baseline,mild,OCSVM,"{'nu': 0.01, 'kernel': 'rbf', 'gamma': 'scale'}",0.18749999999999997,0.10772003559896115,0.15584415584415584,0.20689655172413793,0.125,0.3858144743045733,0.08730060904906492
baseline,mild,OCSVM,"{'nu': 0.03, 'kernel': 'rbf', 'gamma': 'scale'}",0.18181818181818185,0.3301462004880449,0.15584415584415584,0.20689655172413793,0.125,0.3863743517208864,0.08730828205830324
baseline,mild,OCSVM,"{'nu': 0.05, 'kernel': 'rbf', 'gamma': 'scale'}",0.18181818181818185,0.570822509402138,0.15584415584415584,0.20689655172413793,0.125,0.3864922206506365,0.08759803045890613
baseline,mild,OCSVM,"{'nu': 0.1, 'kernel': 'rbf', 'gamma': 'scale'}",0.18181818181818182,3.3540772447746043,0.07017543859649122,0.2222222222222222,0.041666666666666664,0.38463578500707213,0.0878679584523967
baseline,mild,OCSVM,"{'nu': 0.15, 'kernel': 'rbf', 'gamma': 'scale'}",0.18181818181818182,6.085254296804727,0.07017543859649122,0.2222222222222222,0.041666666666666664,0.3811291843470061,0.0873783620999753
baseline,mild,OCSVM,"{'nu': 0.05, 'kernel': 'rbf', 'gamma': 'auto'}",0.1739130434782609,0.30518299312024766,0.1,0.25,0.0625,0.38160066006600657,0.09194322176429834
baseline,mild,OCSVM,"{'nu': 0.05, 'kernel': 'rbf', 'gamma': 0.1}",0.18181818181818182,0.149406446600873,0.0,0.0,0.0,0.48738802451673735,0.08269940431571271
baseline,mild,OCSVM,"{'nu': 0.05, 'kernel': 'rbf', 'gamma': 0.01}",0.18181818181818185,0.5126682305554304,0.15384615384615385,0.2,0.125,0.38546086751532294,0.08758758710802614
baseline,mild,OCSVM,"{'nu': 0.05, 'kernel': 'rbf', 'gamma': 0.001}",0.1739130434782609,0.24028265435808294,0.1,0.25,0.0625,0.38136492220650636,0.09172463507064489
baseline,none,Mahalanobis,{'method': 'empirical'},0.13761467889908258,2972.6660153148264,0.1384928716904277,0.07906976744186046,0.5573770491803278,0.6558483779483987,0.06863676263035917
baseline,none,Mahalanobis,{'method': 'robust'},0.13571428571428573,6882.296172836153,0.12772133526850507,0.07006369426751592,0.7213114754098361,0.6294666943349243,0.06223802482088499
baseline,none,IsolationForest,"{'n_estimators': 100, 'max_samples': 'auto', 'contamination': 'auto'}",0.13636363636363635,-0.026123325233621042,0.020833333333333332,0.02857142857142857,0.01639344262295082,0.42207926955799957,0.03945045296325278
