scenario,filter,model,train_time_sec,test_auprc,test_roc_auc,test_max_f1,test_precision_at_max_f1,test_recall_at_max_f1,train_auprc,train_roc_auc,train_max_f1,train_precision_at_max_f1,train_recall_at_max_f1
S1d,aggressive,SVM (Lin),1.9071180820465088,0.8768017896358482,0.9626481926438359,0.8223140495867769,0.8223140495867769,0.8223140495867769,1.0,1.0,1.0,1.0,1.0
S1d,aggressive,NaiveBayes,0.015343666076660156,0.7372577654336047,0.900064029783751,0.6905263157894737,0.703862660944206,0.6776859504132231,0.9485625463051088,0.9469305221005853,0.8752759381898454,0.8409331919406151,0.9125431530494822
S1d,aggressive,RandForest,0.7301595211029053,0.8542043924389595,0.9465070762812557,0.7768924302788843,0.75,0.8057851239669421,0.9999999999999999,1.0,1.0,1.0,1.0
S1e,none,LogReg,0.12474465370178223,0.9952700294910851,0.9955018742190753,0.9688149688149688,0.9872881355932204,0.9510204081632653,0.9999854120430318,0.9999853630588698,0.9984639016897081,1.0,0.9969325153374233
S1e,none,SVM (RBF),4.1526806354522705,0.994812008279138,0.9951520199916701,0.9693251533742332,0.9713114754098361,0.9673469387755103,0.99797322737738,0.9977657754860509,0.9795918367346937,0.9775967413441955,0.9815950920245399
S1e,none,XGBoost,5.099985361099243,0.984568613231735,0.9838400666389004,0.9406952965235175,0.9426229508196722,0.9387755102040817,1.0,1.0,1.0,1.0,1.0
S1e,none,Dummy,0.0,0.5994355188884064,0.4734693877551021,0.6666666666666666,0.5,1.0,0.6268318814331084,0.5051124744376279,0.6666666666666666,0.5,1.0
S1e,none,SVM (Lin),2.499502420425415,0.9949791191041241,0.9949354435651812,0.9674796747967479,0.9635627530364372,0.9714285714285714,1.0,1.0,1.0,1.0,1.0
S1e,none,NaiveBayes,0.019608736038208008,0.9449429903360372,0.9378842149104539,0.8838174273858921,0.8987341772151899,0.8693877551020408,0.9546571922360935,0.9517880069086361,0.8965873836608065,0.9069037656903766,0.8865030674846626
S1e,none,RandForest,0.8198428153991699,0.9771983650571093,0.9749687630154101,0.9227722772277227,0.8961538461538462,0.9510204081632653,1.0,1.0,1.0,1.0,1.0
S1e,mild,LogReg,0.17048978805541992,0.9937365671578406,0.9937834900173529,0.9646017699115046,0.9775784753363229,0.9519650655021834,0.9999940350373152,0.9999940278897549,0.9989071038251366,0.9989071038251366,0.9989071038251366
S1e,mild,SVM (RBF),4.207219362258911,0.9973508822250698,0.9972159188421275,0.9778761061946903,0.9910313901345291,0.9650655021834061,0.9984375521419255,0.9984341126937203,0.9809264305177111,0.9782608695652174,0.9836065573770492
S1e,mild,XGBoost,5.346111297607422,0.9758332590159038,0.9727693979901222,0.9113924050632912,0.8816326530612245,0.9432314410480349,1.0,1.0,1.0,1.0,1.0
S1e,mild,Dummy,0.0,0.61672410754499,0.4934497816593887,0.6666666666666666,0.5,1.0,0.6215720613369924,0.4967213114754099,0.6666666666666666,0.5,1.0
S1e,mild,SVM (Lin),2.2629919052124023,0.991317183236572,0.9917431017715147,0.9587852494577007,0.9525862068965517,0.9650655021834061,1.0,0.9999999999999999,1.0,1.0,1.0
