id,scenario,scenario_name,pooling,model,threshold,train_f1,train_auprc,train_roc_auc,train_prec,train_rec,val_f1,val_auprc,val_roc_auc,val_prec,val_rec,test_f1,test_auprc,test_roc_auc,test_prec,test_rec
S2b,hybrid,Hybrid (G+S),mean,XGBoost,0.9552786946296692,1.0,1.0,1.0,1.0,1.0,0.95,0.9920952984984296,0.9477124183006536,0.9693877551020408,0.9313725490196079,0.9456740442655935,0.9904601819908345,0.9440456081081081,0.975103734439834,0.91796875
S2b,hybrid,Hybrid (G+S),mean,Dummy,0.0,0.8636610537751223,0.8692892120728146,0.48808918815906494,0.8688524590163934,0.8585313174946004,0.883495145631068,0.8746543489190548,0.5127450980392156,0.875,0.8921568627450981,0.8622047244094488,0.8697229438383716,0.48178842905405406,0.8690476190476191,0.85546875
S2b,hybrid,Hybrid (G+S),mean,SVM (Lin),0.4240198630887359,0.9978354978354979,0.9998947452624842,0.9992059458772711,1.0,0.9956803455723542,0.957345971563981,0.9922448606121403,0.949673202614379,0.926605504587156,0.9901960784313726,0.9668615984405458,0.9933798148708843,0.9592483108108107,0.9649805447470817,0.96875
S2b,hybrid,Hybrid (G+S),mean,NaiveBayes,3.825120679460073e-29,0.955649419218585,0.9895278221954453,0.9470723224494981,0.9349173553719008,0.9773218142548596,0.9428571428571428,0.9925949364101926,0.9470588235294117,0.9166666666666666,0.9705882352941176,0.9366602687140115,0.9884344670874108,0.9354413006756757,0.9207547169811321,0.953125
S2b,hybrid,Hybrid (G+S),mean,RandForest,0.72,0.9994597514856834,1.0,1.0,1.0,0.9989200863930886,0.9423076923076923,0.9905381335731513,0.938888888888889,0.9245283018867925,0.9607843137254902,0.9400386847195358,0.9902685984271791,0.9369721283783783,0.9310344827586207,0.94921875
S2b,hybrid,Hybrid (G+S),mean,XGBoost,0.9552786946296692,1.0,1.0,1.0,1.0,1.0,0.95,0.9920952984984296,0.9477124183006536,0.9693877551020408,0.9313725490196079,0.9456740442655935,0.9904601819908345,0.9440456081081081,0.975103734439834,0.91796875
S2a,baseline,Gold Balanced,cls,LogReg,0.2568830331758816,0.9428007889546351,0.9949599632356702,0.9905024509803921,0.8951310861423221,0.9958333333333333,0.847457627118644,0.8921188594563398,0.8358974358974359,0.7575757575757576,0.9615384615384616,0.8507462686567164,0.9211702697887383,0.8652743652743653,0.8382352941176471,0.8636363636363636
S2a,baseline,Gold Balanced,cls,SVM (RBF),0.5841604192662243,0.8614718614718615,0.9521035872089635,0.9151194852941177,0.8963963963963963,0.8291666666666667,0.8301886792452831,0.8573958337123274,0.8256410256410256,0.8148148148148148,0.8461538461538461,0.7433628318584071,0.9099469394123835,0.85012285012285,0.8936170212765957,0.6363636363636364
S2a,baseline,Gold Balanced,cls,XGBoost,0.529395580291748,1.0,0.9999999999999999,1.0,1.0,1.0,0.8,0.8511631639488436,0.7589743589743589,0.7586206896551724,0.8461538461538461,0.75,0.8817149597967026,0.7784602784602784,0.7741935483870968,0.7272727272727273
S2a,baseline,Gold Balanced,cls,Dummy,0.0,0.6378600823045267,0.6329913365623018,0.48835784313725494,0.6300813008130082,0.6458333333333334,0.6428571428571429,0.6105065666041276,0.4461538461538461,0.6,0.6923076923076923,0.6861313868613139,0.655870202089264,0.5317362817362817,0.6619718309859155,0.7121212121212122
S2a,baseline,Gold Balanced,cls,SVM (Lin),0.46169259197054,0.9811320754716981,0.9983401661489149,0.9964154411764706,0.9873417721518988,0.975,0.847457627118644,0.8834195721073953,0.8205128205128205,0.7575757575757576,0.9615384615384616,0.8091603053435115,0.911181955613303,0.8394758394758396,0.8153846153846154,0.803030303030303
S2a,baseline,Gold Balanced,cls,NaiveBayes,2.024352950941539e-13,0.8423005565862709,0.927424342177813,0.8882352941176471,0.7591973244147158,0.9458333333333333,0.8333333333333334,0.8856297036721581,0.8435897435897437,0.7352941176470589,0.9615384615384616,0.8104575163398693,0.8740000614439066,0.7907452907452908,0.7126436781609196,0.9393939393939394
S2a,baseline,Gold Balanced,cls,RandForest,0.44,1.0,0.9999999999999999,1.0,1.0,1.0,0.8064516129032258,0.7904338053442524,0.7307692307692307,0.6944444444444444,0.9615384615384616,0.7763157894736842,0.8566521686779422,0.7471334971334971,0.686046511627907,0.8939393939393939
S2a,baseline,Gold Balanced,cls,XGBoost,0.529395580291748,1.0,0.9999999999999999,1.0,1.0,1.0,0.8,0.8511631639488436,0.7589743589743589,0.7586206896551724,0.8461538461538461,0.75,0.8817149597967026,0.7784602784602784,0.7741935483870968,0.7272727272727273
S2b,hybrid,Hybrid (G+S),cls,LogReg,0.27827384477924993,0.9885558583106268,0.999507241654512,0.9964902807775378,0.9977997799779978,0.9794816414686826,0.9463414634146341,0.9853029097932241,0.9098039215686275,0.941747572815534,0.9509803921568627,0.9546351084812623,0.9935822130035504,0.9568201013513512,0.9641434262948207,0.9453125
S2b,hybrid,Hybrid (G+S),cls,SVM (RBF),0.5788337211113225,0.9676357652221613,0.9972354533939877,0.980863295642231,0.9832775919732442,0.9524838012958964,0.9603960396039604,0.9877568162092161,0.9274509803921569,0.97,0.9509803921568627,0.952755905511811,0.9916731794224559,0.9444679054054054,0.9603174603174603,0.9453125
